Alon (62X2000, 1.82)	Accuracy	MCC	AUC(ROC)	BCR	Average Precision
LMCM	82.307692+-6.640110	 67.381749+-7.767830	 89.375000+-11.956752	 81.833333+-4.654747	 66.331570+-19.197051
JMI	80.769231+-3.511042	 56.341824+-10.692100	 81.111111+-7.190100	 75.638889+-7.297683	 71.916266+-16.336586
CMIM	74.358974+-13.129294	 45.763642+-23.245504	 78.925926+-13.471761	 70.027778+-13.737508	 69.075994+-15.911099
MRMR	78.846154+-9.593993	 56.179880+-22.287680	 84.606481+-8.982406	 75.972222+-13.025231	 70.717112+-15.584801
ReliefF	82.307692+-14.402407	 64.636031+-26.441177	 85.000000+-13.833222	 81.055556+-13.794680	 70.845717+-16.675370
					
Christensen (198X1413, 1.33)	Accuracy	 MCC	 AUC(ROC)	 BCR	 Average Precision
LMCM	100.000000+-0.000000	 100.000000+-0.000000	 100.000000+-0.000000	 100.000000+-0.000000	 37.976556+-10.925216
JMI	100.000000+-0.000000	 100.000000+-0.000000	 100.000000+-0.000000	 100.000000+-0.000000	 27.704121+-8.067294
CMIM	99.487179+-1.146702	 98.931455+-2.389339	 100.000000+-0.000000	 99.600000+-0.894427	 34.445329+-10.225841
MRMR	100.000000+-0.000000	 100.000000+-0.000000	 100.000000+-0.000000	 100.000000+-0.000000	 27.597665+-8.125557
ReliefF	100.000000+-0.000000	 100.000000+-0.000000	 100.000000+-0.000000	 100.000000+-0.000000	 27.756245+-8.081178
					
Gravier (168X2905, 1.95)	Accuracy	 MCC	 AUC(ROC)	 BCR	 Average Precision
LMCM	75.008913+-6.798960	 44.672177+-18.841727	 78.111720+-14.930948	 72.147798+-9.369048	 26.610373+-17.955228
JMI	72.655971+-5.031666	 38.409784+-11.146387	 75.758833+-5.912221	 67.238425+-5.304990	 10.981696+-5.427691
CMIM	76.221034+-5.029692	 47.457516+-10.864371	 76.119291+-6.107633	 72.250847+-6.499447	 15.319877+-6.078656
MRMR	72.584670+-5.950358	 37.526284+-13.841405	 77.758046+-6.473886	 68.134246+-6.227926	 14.648359+-7.758532
ReliefF	64.866310+-8.236953	 21.872183+-17.664028	 63.186070+-12.872725	 61.025786+-9.145102	 14.281835+-7.738491
					
Artificial (100X2500, 1.00)	Accuracy	 MCC	 AUC(ROC)	 BCR	 Average Precision
LMCM	60.000000+-10.000000	 22.433134+-21.972579	 60.550733+-9.037520	 61.554945+-11.075519	 25.462919+-12.506532
JMI	61.000000+-10.839742	 20.663448+-20.404405	 61.492399+-8.090980	 60.248168+-9.878021	 21.199483+-7.444506
CMIM	56.000000+-2.236068	 13.056098+-6.415558	 58.624725+-9.114575	 56.709707+-3.399092	 21.797714+-7.716698
MRMR	57.000000+-9.082951	 14.864501+-21.195833	 59.388095+-11.853067	 57.669414+-10.924409	 21.603468+-13.618293
ReliefF	58.000000+-9.082951	 13.977711+-15.823650	 58.752747+-14.934034	 56.948718+-7.891718	 17.844837+-21.812395
					
West (49X7129, 1.04)	Accuracy	 MCC	 AUC(ROC)	 BCR	 Average Precision
LMCM	71.111111+-10.030817	 37.622397+-27.163154	 70.222222+-23.025482	 67.904762+-13.112975	 44.009524+-22.382533
JMI	61.333333+-7.673910	 19.441902+-17.316211	 68.920635+-11.678441	 59.809524+-8.693574	 28.317989+-18.441930
